,standard_dGr_prime,SD
ARGLYSex,0.0076752189107267554,1.2889840036223177e-05
ARGNm,-6.513152572485055,10.101455688476562
ARGSS,-24.93376165932376,8.479193687438965
ARGt4,-21.745895027997655,6.072922133171232e-06
ARGtm,63.744016879813685,6.762243174307514e-06
ARSA,,
ARTCOAL1,36.689177794111664,20.45954704284668
ARTCOAL2,36.6891739794144,20.45954132080078
ARTCOAL3,,
R_group_phosphotase_1,-71.95833878785069,20.40715789794922
R_group_phosphotase_2,-71.95833878785069,20.407150268554688
R_group_phosphotase_3,,
ARTFR11,,
ARTFR12,,
ARTFR13,,
ARTFR202,,
ARTFR203,,
ARTFR204,,
ARTFR205,,
ARTFR206,,
ARTFR207,,
ARTFR208,,
ARTFR209,,
ARTFR210,,
ARTFR211,,
ARTFR212,,
ARTFR213,,
ARTFR31,,
ARTFR32,,
ARTFR33,,
ARTFR34,,
ARTFR41,,
ARTFR42,,
ARTFR43,,
ARTFR44,,
ARTFR45,,
ARTFR46,,
ARTFR51,,
ARTFR52,,
ARTFR53,,
ARTFR54,,
ARTFR55,,
ARTFR56,,
ARTFR57,,
ARTFR61,,
ARTPLM1,,
ARTPLM1m,,
ARTPLM2,,
ARTPLM2m,,
ARTPLM3,,
ARTPLM3m,,
ASAH1,-15.988915702893678,44.180912017822266
ASCBOX,-62.82635655443405,20.418094635009766
ASCBt,-5.092990777467238,8.544921911379788e-06
ASCBt4,-6.846622580137708,8.544921911379788e-06
ASNALANaEx,-1.9313307577071868,9.10938160814112e-06
ASNCYSNaEx,-2.0894282793584686,4.3050345084338915e-06
ASNGLNNaEx,0.6747935105038181,2.749759460130008e-06
ASNNm,-57.27703484249855,70.25831604003906
ASNS1,-35.18969821322848,0.8074691891670227
ASNSERNaEx,-1.9533192737383231,6.072921223676531e-06
ASNt4,-9.910588183117241,2.1579185158770997e-06
ASNTHRNaEx,0.3330444821010623,4.3050345084338915e-06
ASNtm,32.314336102085335,3.051757857974735e-06
ASNtN1,-7.628680816806305,2.1579185158770997e-06
Asn_X_Ser_Thrtr,-67.88889938282966,5.3926382861391176e-06
ASPCTr,-16.538444852119177,8.514673233032227
ASPDt6,-11.488957997866304,0.0
ASPDxt,8.000814063861512,0.0
ASPGLUm,-1.271464643764638,7.475249276467366e-06
ASPNATm,-5.565235568405001,7.8331170082092285
ASPt6,-11.488958608217853,1.0553964784776326e-05
