,transformed standard dGr,SD
248,2.6206902730896218,1.3349523055461254
249,-1.6181119068235148,1.4659353769072652
250,-21.789967307425968,3.088253269748143
251,6.909997248752916,0.989401518712965
252,-20.893966234960544,1.426576829026563
253,-14.83334577812832,0.0
254,-14.94639156038886,0.0
255,126.14523240983004,0.0
256,59.33243997510806,0.0
257,-31.24349391370015,1.360402442660063
258,-35.54014835450488,3.977466351994724
259,-33.70176049052844,3.822742499502814
260,-23.96126318575614,0.0
261,-13.952902130985308,0.0
262,-75.31496371009507,0.0
263,,
264,,
265,,
266,-15.016060356769003,0.3042778553577672
267,-39.93735113475213,0.0
268,-46.17675023937767,100000.0
269,-18.661573374229704,5.948700718818414
270,11.337041639080285,1.3769709069380318
271,14.809782182284152,2.931870753707443
272,-13.691870027776927,0.0
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,,
289,,
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,-58.584546231172254,6.30972880848765
298,,
299,,
300,-1.2243288192183286,1.6151493063354805
301,,
302,-8.242849886510527,1.6467593861632737
303,-8.1473609833578,1.6467593861632737
304,11.254728341468308,0.3042778553577672
305,0.0,0.0
306,0.0,0.0
307,0.0,0.0
308,,
309,,
310,-6.08543853451738,4.263990941170825
311,-26.442513722670355,3.884974299875713
312,0.0045316156121089,0.0
313,-4.903209731488147,0.0
314,-4.564140053540569,0.0
315,-17.544311462813084,1.011096647292202
316,2.412639475007836,1.5702405833733752
317,2.412639475007836,1.5702405833713249
318,-16.221322455721292,8.013905496593349
319,-16.221322455721292,8.01390549659336
320,1.0285743394416045,0.0
321,-0.1370181188924562,0.0
322,3.4245085989913377,0.0
323,-2.2923961239037283,0.0
324,3.4245085989913377,0.0
325,3.311462816730796,0.0
326,-2.2923961239037283,0.0
327,-0.1482079563656384,0.0
328,15.992906945370803,4.169565846467827
329,67.86674733728819,0.0
330,-8.085554437188478,0.0
331,0.3253805722989114,0.5312336431378978
332,2.1408754320964363,0.0
333,-8.19860021944902,0.0
334,25.142932376531093,1.714903414014755
335,19.34395187326353,1.010965789583649
336,15.699896130637256,1.6884229905210102
337,15.699896130637256,1.6884229905210102
338,19.78571773293251,0.3233520541748683
339,19.98751948399135,0.4644790296596214
340,-40.623543804010296,1.0896565729574634
341,-49.91106290098742,1.0896565729574634
342,-40.62794805527551,1.0896565729574634
343,-61.48519539260096,1.2902400794969098
344,-51.99512057493119,1.315440459716431
345,31.947696063184367,0.0
346,127.79078085924266,0.0
347,-14.471317309316618,2.1735108352537305
348,-0.0012196737179692,100000.0
349,,
350,,
351,0.00308871015568,100000.0
352,-0.0002336374350306,100000.0
353,-17.903141038362037,1.714947743447636
354,-17.544310467655976,1.0110966472899647
355,-172.37460932262638,2.3858716671518603
356,-172.3748349134312,2.3858716671518603
