,standard_dGr_prime,SD
MAR08493,-13.505892768799612,0.4586353003978729
MAR08494,-13.480755446028382,0.4586169719696045
MAR08495,-13.511391514495656,0.4586145877838135
MAR03802,-39.7595059372257,0.3254806399345398
MAR03804,-39.75885210784395,0.3255052864551544
MAR03811,-1.0470499099148218,1.4274213314056396
MAR03813,-20.861049176973225,2.98949933052063
MAR03822,-50.19147882079247,3.6358392238616943
MAR03827,3.8155087836560213,0.4217016398906708
MAR03829,3.824163876707111,0.42169517278671265
MAR03862,-5.70009860779588,1.1852144002914429
MAR03865,-9.436808789475066,7.011369228363037
MAR03870,-18.30260500801711,1.2012985944747925
MAR03873,-12.211422411467993,2.9072258472442627
MAR08654,-6.320172413004045,2.148838758468628
MAR03890,-15.860537400739851,0.9721328020095825
MAR03892,-5.84337784615974,1.0093146562576294
MAR09802,-10.181421800031849,1.0093148946762085
MAR03899,2.626888905743016,0.45983564853668213
MAR03903,-34.86270198236544,0.9134673476219177
MAR04109,2.637043132658391,0.45983532071113586
MAR04114,-10.324494266898569,1.116808295249939
MAR04115,-6.027537058371109,1.1168094873428345
MAR04118,-12.710351645051944,1.2012959718704224
MAR04172,-10.587887487125649,1.1852142810821533
MAR04196,-2.4838171541320335,0.5571343898773193
MAR04197,-2.452882966772698,0.5571332573890686
MAR04287,-38.72484587421479,1.4767013788223267
MAR04690,-20.805460803863582,2.421198844909668
MAR04693,1.304820360836814,1.5132770538330078
MAR06780,-3.754492960997567,1.0070810317993164
MAR06968,29.32897764440868,1.6495720148086548
MAR06969,-1.4044810054982495,1.5633456707000732
MAR06970,0.38160080123269324,1.0428719520568848
MAR06971,32.19813631337553,7.7792487144470215
MAR06972,90.6725441189492,22.01347541809082
MAR07641,23.424732208251953,4.461175918579102
MAR07642,-9.91821252682712e-07,6.532382940349635e-06
MAR08626,-29.98660035621279,1.6749640703201294
MAR08628,-1.3109445187628221,1.5492804050445557
MAR03806,38.93166481938434,1.4513249397277832
MAR03807,2.94201765273791,1.5275248289108276
MAR03809,26.182324161285905,1.6522598266601562
MAR03816,-6.7914979126039725,8.043898582458496
MAR03819,-11.10330467111274,3.35117769241333
MAR03820,-11.259814001408166,3.351177930831909
MAR03832,-41.367131386411025,3.276397466659546
MAR03833,-48.62987724410667,2.663257598876953
MAR03835,-48.629907761156545,2.6632485389709473
MAR03837,-48.64225041317818,2.6632494926452637
MAR03895,15.736827587799127,0.9540959000587463
MAR03897,-1.9455068558027193,1.4771568775177002
MAR03956,-5.891219480885809,2.086726427078247
MAR03993,-662.1534462746591,34.93015670776367
MAR04073,-23.83411597113079,6.3610029220581055
MAR04075,-21.719227904131994,31.318349838256836
MAR04077,-21.752969072403374,31.318347930908203
MAR04190,-306.3169105084426,16.235347747802734
MAR04191,-20.341130350240938,2.3300275802612305
MAR04212,-20.462409819441795,2.330031394958496
MAR04422,-20.456466110037255,2.3300318717956543
MAR04423,-97.18079043311224,4.944638252258301
MAR04424,-6.7945121069477565,8.043899536132812
MAR04583,16.439942506928688,30.645523071289062
MAR04605,-39.0083091789445,1.4513474702835083
MAR04606,-5.2203849570371155,8.42752456665039
MAR04607,-30.048803693257085,8.493155479431152
MAR04776,-457.52254964156964,3.710123300552368
MAR04777,-457.5006044590073,3.710120916366577
MAR04778,52.645808382070506,3.4977757930755615
MAR04779,52.69745851168352,3.497771739959717
MAR04780,52.64576642092884,3.4977996349334717
MAR04781,52.696812311696306,3.4977993965148926
MAR04784,-48.29473819072251,3.946512460708618
MAR04785,-48.29540727889335,3.946500301361084
MAR04786,-0.12381306509107048,1.1469603776931763
MAR04787,21.63397962494456,1.302708625793457
MAR05384,9.628144901173346,0.5612230896949768
MAR06929,33.13441675758778,2.0117011070251465
MAR06930,33.07159423828125,2.0117032527923584
MAR06931,-62.20402433254199,102.58711242675781
MAR06932,-60.90991660702639,102.58711242675781
MAR06933,58.29356384277344,102.015869140625
MAR06934,-99.95620791514105,42.636173248291016
MAR06935,-98.70235883724348,42.636173248291016
MAR06936,20.573383331298828,43.05376434326172
MAR06938,33.168485528007096,2.011695623397827
MAR06939,33.07160186767578,2.011695384979248
MAR06940,33.05433081102299,1.9057141542434692
MAR06941,-79.14757871553053,71.5068359375
MAR06942,-77.89498095475844,71.50682830810547
MAR06943,41.382869720458984,70.95278930664062
MAR06944,-79.49303111480546,72.04729461669922
MAR06945,-78.41057675686396,72.04729461669922
MAR06946,41.151363372802734,71.49765014648438
MAR06947,-100.28271178970078,42.15583038330078
MAR06948,-99.17212061489724,42.15583419799805
MAR06949,20.341873168945312,42.578453063964844
MAR06950,-99.93727464921493,42.63618850708008
MAR06951,-98.65654007158076,42.63618850708008
MAR06952,20.573379516601562,43.053768157958984
MAR06953,-39.62369523261668,1.411960244178772
